Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Marine Diesel Generator Alternator,Stator Core,4860.19,Electrical Steel,86.9,Epoxy Resin,5.2,22.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,935.36,Copper,74.4,Epoxy Resin,22.4,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Bearings,150.71,Chromium Steel,81.8,Aluminum Alloy,10.4,12.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,136.37,Epoxy Resin,63.9,Polyester Resin,28.8,11.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Slip Rings,91.51,Copper,57.3,Stainless Steel,30.0,10.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Frame / Housing,2568.72,Cast Iron,88.4,Carbon Steel,7.5,29.0,Welded,0.0
Marine Diesel Generator Alternator,Terminal Box,104.91,Carbon Steel,68.6,Copper,21.7,25.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Stator Windings,1754.32,Copper,78.5,Epoxy Resin,16.8,15.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1221.55,Alloy Steel,96.3,None,0.0,29.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,4797.24,Electrical Steel,94.8,Epoxy Resin,5.4,21.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,889.94,Copper,72.7,Epoxy Resin,19.9,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,93.34,Carbon Steel,67.7,Copper,19.8,24.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Cooling Fan,207.94,Aluminum Alloy,87.7,Carbon Steel,7.4,14.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2750.71,Cast Iron,89.1,Carbon Steel,7.4,32.0,Welded,0.0
Marine Diesel Generator Alternator,Insulation System,146.75,Epoxy Resin,61.2,Polyester Resin,29.2,11.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Windings,1722.1,Copper,81.6,Epoxy Resin,17.2,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Slip Rings,91.02,Copper,59.4,Stainless Steel,28.4,9.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Bearings,157.27,Chromium Steel,80.1,Aluminum Alloy,9.3,9.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,5.86,Galvanized Steel,49.3,ABS Plastic,28.8,12.0,Chemically Bonded / Cast,0.0
Motor Control Center,Steel Framework / Chassis,784.26,Galvanized Carbon Steel,75.6,Zinc Coating,1.9,24.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,52.48,Carbon Steel,40.2,Polycarbonate,33.7,8.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),18.55,Carbon Steel,41.5,Silver-Tin Oxide,10.0,4.0,Chemically Bonded / Cast,2.0
Motor Control Center,Withdrawable Control Buckets,56.37,Galvanized Steel,42.2,ABS Plastic,28.3,11.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Copper Busbar System,152.33,Copper,15.9,Tin Plating,1.0,27.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),14.63,Ferrous Alloy,35.4,Ag-SnO2 Composite,14.8,10.0,Chemically Bonded / Cast,2.0
Motor Control Center,Wireways / Logic / PLCs,4.63,uPVC Plastic,50.7,Polypropylene,24.2,20.0,Chemically Bonded / Cast,0.0
Motor Control Center,Wireways / Logic / PLCs,4.39,uPVC Plastic,50.3,Polypropylene,24.8,19.0,Chemically Bonded / Cast,0.0
Motor Control Center,Steel Framework / Chassis,688.0,Galvanized Carbon Steel,76.2,Zinc Coating,2.6,28.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,58.57,Galvanized Steel,42.1,ABS Plastic,29.0,11.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Wireways / Logic / PLCs,5.48,Galvanized Steel,45.8,Polycarbonate,30.3,14.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,142.34,Copper,16.9,Silver Plating,1.2,22.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,6.1,Galvanized Steel,42.5,Polycarbonate,30.5,12.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,185.88,Copper,18.3,Nickel Plating,1.7,32.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,59.03,Galvanized Steel,45.8,ABS Plastic,29.4,7.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Wireways / Logic / PLCs,4.52,uPVC Plastic,47.9,Polypropylene,25.8,19.0,Chemically Bonded / Cast,0.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),16.63,Ferrous Alloy,33.8,Ag-SnO2 Composite,14.6,9.0,Chemically Bonded / Cast,2.0
Motor Control Center,Wireways / Logic / PLCs,6.82,Galvanized Steel,47.1,ABS Plastic,29.0,13.0,Chemically Bonded / Cast,0.0
Motor Control Center,Wireways / Logic / PLCs,7.42,Galvanized Steel,43.5,Polycarbonate,31.0,21.0,Chemically Bonded / Cast,0.0
Motor Control Center,Withdrawable Control Buckets,49.35,Carbon Steel,43.2,Polycarbonate,32.4,8.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),20.94,Carbon Steel,40.1,Copper Coil,7.4,4.0,Chemically Bonded / Cast,2.0
Motor Control Center,Withdrawable Control Buckets,49.66,Carbon Steel,43.7,Polycarbonate,30.5,9.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),14.64,Ferrous Alloy,35.6,Ag-SnO2 Composite,14.3,9.0,Chemically Bonded / Cast,2.0
Motor Control Center,Copper Busbar System,157.8,Copper,17.4,Silver Plating,1.5,26.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,851.65,Galvanized Carbon Steel,70.7,Aluminum (Structural),1.0,25.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,805.45,Carbon Steel,60.7,Galvanized Steel,2.1,28.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),16.76,Ferrous Alloy,37.5,Ag-SnO2 Composite,14.3,7.0,Chemically Bonded / Cast,2.0
Motor Control Center,Withdrawable Control Buckets,46.26,Carbon Steel,41.5,Polycarbonate,32.2,11.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,848.39,Carbon Steel,62.0,Galvanized Steel,3.2,27.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,6.69,Galvanized Steel,47.4,ABS Plastic,28.9,13.0,Chemically Bonded / Cast,0.0
Motor Control Center,Wireways / Logic / PLCs,7.04,Galvanized Steel,42.3,Polycarbonate,31.5,21.0,Chemically Bonded / Cast,0.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),19.55,Carbon Steel,36.7,Silver-Tin Oxide,11.4,4.0,Chemically Bonded / Cast,2.0
Motor Control Center,Wireways / Logic / PLCs,4.41,uPVC Plastic,49.2,Polypropylene,24.2,21.0,Chemically Bonded / Cast,0.0
Motor Control Center,Steel Framework / Chassis,730.65,Galvanized Carbon Steel,74.1,Aluminum (Structural),2.5,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,54.36,Carbon Steel,43.1,Polycarbonate,31.3,8.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Withdrawable Control Buckets,48.77,Carbon Steel,39.4,Glass Polyester,28.1,9.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,747.52,Galvanized Carbon Steel,73.8,Zinc Coating,2.1,28.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),19.18,Carbon Steel,42.5,Silver-Tin Oxide,9.9,7.0,Chemically Bonded / Cast,2.0
Motor Control Center,Wireways / Logic / PLCs,4.91,uPVC Plastic,48.8,Polypropylene,25.8,21.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,152.13,Copper,19.1,Tin Plating,1.0,26.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,47.35,Carbon Steel,40.1,Glass Polyester,28.4,7.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,813.03,Galvanized Carbon Steel,74.1,Aluminum (Structural),1.9,30.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,46.91,Carbon Steel,38.0,Glass Polyester,27.4,7.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,941.75,Carbon Steel,63.3,Galvanized Steel,2.7,32.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,170.87,Copper,18.4,Nickel Plating,2.1,33.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,44.02,Carbon Steel,41.8,Glass Polyester,27.2,5.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,704.44,Stainless Steel,69.3,Zinc Alloy,1.8,35.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),21.96,Carbon Steel,40.3,Silver-Tin Oxide,10.4,7.0,Chemically Bonded / Cast,2.0
Motor Control Center,Steel Framework / Chassis,821.66,Carbon Steel,63.3,Galvanized Steel,2.5,31.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),21.15,Carbon Steel,40.7,Copper Coil,8.9,6.0,Chemically Bonded / Cast,2.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),20.41,Carbon Steel,43.6,Copper Coil,8.4,8.0,Chemically Bonded / Cast,2.0
Motor Control Center,Copper Busbar System,178.25,Copper,16.5,Nickel Plating,1.0,31.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,46.74,Carbon Steel,42.4,Glass Polyester,28.8,5.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Wireways / Logic / PLCs,6.09,Galvanized Steel,45.6,ABS Plastic,28.5,12.0,Chemically Bonded / Cast,0.0
Motor Control Center,Wireways / Logic / PLCs,4.83,uPVC Plastic,49.7,Polypropylene,24.2,19.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,147.66,Copper,15.6,Silver Plating,1.4,27.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,765.28,Stainless Steel,67.9,Zinc Alloy,2.6,38.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,52.74,Carbon Steel,39.7,Glass Polyester,28.1,4.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Copper Busbar System,134.6,Copper Alloy,12.8,Silver Plating,1.4,20.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,56.05,Carbon Steel,39.9,Polycarbonate,31.5,9.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Withdrawable Control Buckets,46.23,Carbon Steel,40.9,Glass Polyester,27.4,10.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,841.53,Carbon Steel,60.9,Galvanized Steel,3.9,30.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,768.43,Galvanized Carbon Steel,74.1,Aluminum (Structural),1.1,26.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,5.96,Galvanized Steel,43.0,Polycarbonate,30.9,16.0,Chemically Bonded / Cast,0.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),19.63,Carbon Steel,36.6,Silver-Tin Oxide,11.1,7.0,Chemically Bonded / Cast,2.0
Motor Control Center,Wireways / Logic / PLCs,6.81,Galvanized Steel,44.2,Polycarbonate,32.4,23.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,166.8,Copper,16.2,Tin Plating,1.0,31.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,176.92,Copper,14.9,Nickel Plating,1.8,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,786.32,Carbon Steel,62.1,Galvanized Steel,3.8,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,140.6,Copper Alloy,15.1,Silver Plating,1.5,20.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,44.71,Carbon Steel,40.1,Glass Polyester,27.4,6.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Copper Busbar System,180.25,Copper,18.3,Nickel Plating,2.6,33.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,51.4,Galvanized Steel,42.9,ABS Plastic,29.4,9.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Copper Busbar System,145.87,Copper,17.1,Tin Plating,1.0,31.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,127.42,Copper Alloy,13.1,Silver Plating,2.9,21.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,136.35,Copper Alloy,16.4,Silver Plating,2.0,20.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,167.71,Copper,14.9,Tin Plating,1.9,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,53.18,Carbon Steel,40.5,Polycarbonate,31.6,5.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Withdrawable Control Buckets,56.84,Carbon Steel,43.6,Polycarbonate,30.6,7.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Withdrawable Control Buckets,45.3,Carbon Steel,39.2,Polycarbonate,34.0,11.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Copper Busbar System,157.63,Copper,15.0,Silver Plating,1.0,27.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,130.56,Copper Alloy,15.4,Silver Plating,2.8,22.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,5.08,Galvanized Steel,42.6,Polycarbonate,29.8,12.0,Chemically Bonded / Cast,0.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),17.78,Carbon Steel,40.2,Silver-Tin Oxide,11.9,8.0,Chemically Bonded / Cast,2.0
Motor Control Center,Copper Busbar System,179.41,Copper,18.4,Nickel Plating,2.3,27.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,49.08,Carbon Steel,37.9,Glass Polyester,28.6,10.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,763.0,Galvanized Carbon Steel,73.8,Aluminum (Structural),1.6,27.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,54.1,Carbon Steel,38.7,Polycarbonate,32.5,7.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,784.7,Carbon Steel,59.4,Galvanized Steel,2.5,31.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,5.97,Galvanized Steel,48.1,ABS Plastic,28.9,9.0,Chemically Bonded / Cast,0.0
Motor Control Center,Steel Framework / Chassis,812.43,Carbon Steel,60.8,Galvanized Steel,3.0,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,6.59,Galvanized Steel,42.7,Polycarbonate,31.6,17.0,Chemically Bonded / Cast,0.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),15.12,Ferrous Alloy,38.1,Ag-SnO2 Composite,14.3,10.0,Chemically Bonded / Cast,2.0
Motor Control Center,Steel Framework / Chassis,818.93,Stainless Steel,72.1,Zinc Alloy,3.3,34.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,756.63,Galvanized Carbon Steel,75.1,Zinc Coating,2.1,27.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,746.93,Stainless Steel,70.6,Zinc Alloy,1.9,33.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),19.58,Carbon Steel,39.2,Silver-Tin Oxide,12.9,7.0,Chemically Bonded / Cast,2.0
Motor Control Center,Copper Busbar System,166.32,Copper,18.9,Nickel Plating,1.5,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,761.08,Stainless Steel,71.0,Zinc Alloy,1.8,32.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,754.92,Galvanized Carbon Steel,69.5,Aluminum (Structural),1.0,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,6.62,Galvanized Steel,41.6,Polycarbonate,31.3,23.0,Chemically Bonded / Cast,0.0
Motor Control Center,Withdrawable Control Buckets,48.54,Carbon Steel,38.1,Glass Polyester,27.8,4.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Copper Busbar System,154.37,Copper,16.4,Tin Plating,2.0,25.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,824.08,Carbon Steel,62.1,Galvanized Steel,3.2,31.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,6.38,Galvanized Steel,44.8,Polycarbonate,32.5,21.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,171.07,Copper,17.4,Nickel Plating,2.7,30.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,49.33,Carbon Steel,40.8,Polycarbonate,32.7,11.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Withdrawable Control Buckets,45.83,Carbon Steel,39.8,Glass Polyester,28.5,4.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Withdrawable Control Buckets,48.74,Carbon Steel,40.9,Polycarbonate,31.6,8.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Wireways / Logic / PLCs,4.93,uPVC Plastic,51.2,Polypropylene,24.8,21.0,Chemically Bonded / Cast,0.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),16.97,Ferrous Alloy,34.5,Ag-SnO2 Composite,13.6,6.0,Chemically Bonded / Cast,2.0
Motor Control Center,Copper Busbar System,138.22,Copper Alloy,13.7,Silver Plating,1.2,23.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),17.2,Ferrous Alloy,35.7,Ag-SnO2 Composite,14.0,8.0,Chemically Bonded / Cast,2.0
Motor Control Center,Withdrawable Control Buckets,53.72,Carbon Steel,42.8,Polycarbonate,31.8,5.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Withdrawable Control Buckets,52.59,Carbon Steel,39.6,Polycarbonate,33.3,11.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,672.04,Galvanized Carbon Steel,73.2,Zinc Coating,1.4,27.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,162.12,Copper,18.4,Tin Plating,1.0,28.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,824.1,Stainless Steel,68.9,Zinc Alloy,3.3,33.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,7.6,Galvanized Steel,44.3,Polycarbonate,31.3,19.0,Chemically Bonded / Cast,0.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),16.6,Carbon Steel,39.4,Silver-Tin Oxide,12.3,5.0,Chemically Bonded / Cast,2.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),18.24,Carbon Steel,39.7,Silver-Tin Oxide,10.0,5.0,Chemically Bonded / Cast,2.0
Motor Control Center,Wireways / Logic / PLCs,5.47,Galvanized Steel,44.8,Polycarbonate,31.0,16.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,169.37,Copper,17.5,Tin Plating,1.0,26.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),23.05,Carbon Steel,42.8,Copper Coil,8.9,4.0,Chemically Bonded / Cast,2.0
Motor Control Center,Withdrawable Control Buckets,49.38,Carbon Steel,39.8,Polycarbonate,33.2,7.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Steel Framework / Chassis,761.4,Stainless Steel,69.4,Zinc Alloy,3.2,37.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Steel Framework / Chassis,775.01,Galvanized Carbon Steel,72.2,Aluminum (Structural),1.7,30.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,4.8,uPVC Plastic,50.8,Polypropylene,24.5,17.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,157.25,Copper,18.0,Tin Plating,1.0,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Wireways / Logic / PLCs,6.31,Galvanized Steel,42.8,Polycarbonate,32.7,22.0,Chemically Bonded / Cast,0.0
Motor Control Center,Copper Busbar System,185.1,Copper,18.5,Nickel Plating,1.2,31.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Copper Busbar System,136.76,Copper,13.5,Silver Plating,1.5,22.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),17.75,Carbon Steel,36.2,Silver-Tin Oxide,11.6,5.0,Chemically Bonded / Cast,2.0
Motor Control Center,Copper Busbar System,183.5,Copper,17.0,Nickel Plating,2.3,30.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),17.48,Carbon Steel,38.5,Silver-Tin Oxide,12.1,10.0,Chemically Bonded / Cast,2.0
Motor Control Center,Withdrawable Control Buckets,45.05,Carbon Steel,39.8,Glass Polyester,28.7,8.0,Mechanically Fastened / Bolted,2.0
Motor Control Center,Copper Busbar System,160.85,Copper,13.4,Silver Plating,1.1,23.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Contactors (Ag-SnO2 Contacts),17.47,Ferrous Alloy,34.3,Ag-SnO2 Composite,14.5,6.0,Chemically Bonded / Cast,2.0
Motor Control Center,Steel Framework / Chassis,829.1,Carbon Steel,62.0,Galvanized Steel,3.3,29.0,Mechanically Fastened / Bolted,1.0
Motor Control Center,Withdrawable Control Buckets,45.8,Carbon Steel,40.5,Glass Polyester,28.5,6.0,Mechanically Fastened / Bolted,2.0
